Model,Accuracy,AUC,Precision,Recall,F1,MCC
LogisticRegression,0.901249585314608,0.9054369428500745,0.643979057591623,0.3487712665406427,0.45248313917841815,0.42644597941367
DecisionTree,0.877031958420878,0.713084078961853,0.4756756756756757,0.499054820415879,0.4870848708487085,0.41742751732487954
KNN,0.8933982085591065,0.8079646028174282,0.5842293906810035,0.30812854442344045,0.4034653465346535,0.37278356152436287
GaussianNB,0.8638726086475728,0.8087980416968015,0.42821576763485475,0.4877126654064272,0.45603181617322136,0.3796553346420521
RandomForest,0.9051199823067566,0.9271051700198742,0.6607717041800643,0.388468809073724,0.48928571428571427,0.45979573458832546
XGBoost,0.9077739688156585,0.9301918886191382,0.6339712918660287,0.500945179584121,0.5596620908130939,0.5133486986004051
